date,day_type,shift,worker
2026-02-01,service_weekend_or_holiday,ISW,A
2026-02-01,service_weekend_or_holiday,MSW,D
2026-02-01,service_weekend_or_holiday,MSW,F
2026-02-01,service_weekend_or_holiday,NSW,E
2026-02-02,normal_weekday,I,A
2026-02-02,normal_weekday,M,B
2026-02-02,normal_weekday,T,C
2026-02-02,normal_weekday,T,D
2026-02-03,normal_weekday,I,C
2026-02-03,normal_weekday,M,B
2026-02-03,normal_weekday,T,D
2026-02-03,normal_weekday,T,E
2026-02-04,normal_weekday,I,D
2026-02-04,normal_weekday,M,C
2026-02-04,normal_weekday,T,A
2026-02-04,normal_weekday,T,E
2026-02-05,normal_weekday,I,B
2026-02-05,normal_weekday,M,A
2026-02-05,normal_weekday,T,C
2026-02-05,normal_weekday,T,E
2026-02-06,normal_weekday,I,B
2026-02-06,normal_weekday,M,D
2026-02-06,normal_weekday,T,A
2026-02-06,normal_weekday,T,E
2026-02-07,normal_weekend_or_holiday,MW,B
2026-02-07,normal_weekend_or_holiday,TW,C
2026-02-08,normal_weekend_or_holiday,MW,B
2026-02-08,normal_weekend_or_holiday,TW,C
2026-02-09,normal_weekday,I,D
2026-02-09,normal_weekday,M,A
2026-02-09,normal_weekday,T,B
2026-02-09,normal_weekday,T,E
2026-02-10,normal_weekday,I,E
2026-02-10,normal_weekday,M,A
2026-02-10,normal_weekday,T,B
2026-02-10,normal_weekday,T,C
2026-02-11,normal_weekday,I,C
2026-02-11,normal_weekday,M,B
2026-02-11,normal_weekday,T,A
2026-02-11,normal_weekday,T,D
2026-02-12,normal_weekday,I,B
2026-02-12,normal_weekday,M,E
2026-02-12,normal_weekday,T,C
2026-02-12,normal_weekday,T,D
2026-02-13,normal_weekday,I,C
2026-02-13,normal_weekday,M,D
2026-02-13,normal_weekday,T,A
2026-02-13,normal_weekday,T,E
2026-02-14,normal_weekend_or_holiday,MW,D
2026-02-14,normal_weekend_or_holiday,TW,A
2026-02-15,normal_weekend_or_holiday,MW,D
2026-02-15,normal_weekend_or_holiday,TW,A
2026-02-16,normal_weekday,I,A
2026-02-16,normal_weekday,M,E
2026-02-16,normal_weekday,T,B
2026-02-16,normal_weekday,T,C
2026-02-17,normal_weekday,I,E
2026-02-17,normal_weekday,M,D
2026-02-17,normal_weekday,T,A
2026-02-17,normal_weekday,T,C
2026-02-18,normal_weekday,I,A
2026-02-18,normal_weekday,M,D
2026-02-18,normal_weekday,T,B
2026-02-18,normal_weekday,T,E
2026-02-19,normal_weekday,I,B
2026-02-19,normal_weekday,M,E
2026-02-19,normal_weekday,T,C
2026-02-19,normal_weekday,T,D
2026-02-20,normal_weekday,I,C
2026-02-20,normal_weekday,M,D
2026-02-20,normal_weekday,T,A
2026-02-20,normal_weekday,T,B
2026-02-21,normal_weekend_or_holiday,MW,B
2026-02-21,normal_weekend_or_holiday,TW,C
2026-02-22,normal_weekend_or_holiday,MW,B
2026-02-22,normal_weekend_or_holiday,TW,C
2026-02-23,service_weekday,IS,A
2026-02-23,service_weekday,MS,D
2026-02-23,service_weekday,NS,E
2026-02-23,service_weekday,TS,C
2026-02-24,service_weekday,IS,C
2026-02-24,service_weekday,MS,A
2026-02-24,service_weekday,NS,E
2026-02-24,service_weekday,TS,B
2026-02-25,service_weekday,IS,B
2026-02-25,service_weekday,MS,A
2026-02-25,service_weekday,NS,E
2026-02-25,service_weekday,TS,D
2026-02-26,service_weekday,IS,D
2026-02-26,service_weekday,MS,B
2026-02-26,service_weekday,NS,E
2026-02-26,service_weekday,TS,A
2026-02-27,service_weekday,IS,D
2026-02-27,service_weekday,MS,C
2026-02-27,service_weekday,NS,E
2026-02-27,service_weekday,TS,B
2026-02-28,service_weekend_or_holiday,ISW,D
2026-02-28,service_weekend_or_holiday,MSW,A
2026-02-28,service_weekend_or_holiday,MSW,F
2026-02-28,service_weekend_or_holiday,NSW,E
