date,day_tags,shift,worker
2026-02-01,service,FSW,A
2026-02-01,service,ISW,D
2026-02-01,service,MSW,F
2026-02-01,service,NSW,E
2026-02-01,service,TSW,B
2026-02-02,service,FS,A
2026-02-02,service,IS,C
2026-02-02,service,MS,D
2026-02-02,service,NS,E
2026-02-02,service,TS,B
2026-02-03,,I,C
2026-02-03,,M,D
2026-02-03,,T,A
2026-02-03,,T,B
2026-02-04,,I,B
2026-02-04,,M,E
2026-02-04,,T,C
2026-02-04,,T,D
2026-02-05,,I,D
2026-02-05,,M,E
2026-02-05,,T,A
2026-02-05,,T,C
2026-02-06,,M,E
2026-02-06,,T,A
2026-02-06,,T,B
2026-02-07,,IW,C
2026-02-07,,MW,B
2026-02-07,,TW,E
2026-02-08,,IW,B
2026-02-08,,MW,C
2026-02-08,,TW,E
2026-02-09,,I,C
2026-02-09,,M,B
2026-02-09,,T,A
2026-02-09,,T,E
2026-02-10,,M,C
2026-02-10,,M,D
2026-02-10,,T,A
2026-02-10,,T,B
2026-02-11,,I,A
2026-02-11,,M,B
2026-02-11,,M,E
2026-02-11,,T,C
2026-02-11,,T,D
2026-02-12,,I,A
2026-02-12,,M,B
2026-02-12,,M,D
2026-02-12,,T,C
2026-02-12,,T,E
2026-02-13,,I,B
2026-02-13,,M,A
2026-02-13,,M,D
2026-02-13,,T,C
2026-02-13,,T,E
2026-02-14,,IW,E
2026-02-14,,MW,D
2026-02-14,,TW,A
2026-02-15,,IW,D
2026-02-15,,MW,A
2026-02-15,,TW,E
2026-02-16,,I,E
2026-02-16,,M,C
2026-02-16,,M,D
2026-02-16,,T,A
2026-02-16,,T,B
2026-02-17,,I,A
2026-02-17,,M,B
2026-02-17,,M,C
2026-02-17,,T,D
2026-02-17,,T,E
2026-02-18,,I,E
2026-02-18,,M,C
2026-02-18,,T,A
2026-02-18,,T,D
2026-02-19,,I,D
2026-02-19,,M,C
2026-02-19,,T,B
2026-02-19,,T,E
2026-02-20,,I,B
2026-02-20,,M,A
2026-02-20,,T,D
2026-02-20,,T,E
2026-02-21,,IW,C
2026-02-21,,MW,B
2026-02-21,,TW,A
2026-02-22,,IW,A
2026-02-22,,MW,B
2026-02-22,,TW,C
2026-02-23,service,FS,D
2026-02-23,service,IS,A
2026-02-23,service,MS,B
2026-02-23,service,NS,E
2026-02-23,service,TS,C
2026-02-24,service,FS,C
2026-02-24,service,IS,B
2026-02-24,service,MS,D
2026-02-24,service,NS,E
2026-02-24,service,TS,A
2026-02-25,service,FS,D
2026-02-25,service,IS,B
2026-02-25,service,MS,C
2026-02-25,service,NS,E
2026-02-25,service,TS,A
2026-02-26,service,FS,A
2026-02-26,service,IS,D
2026-02-26,service,MS,B
2026-02-26,service,NS,E
2026-02-26,service,TS,C
2026-02-27,service,FS,C
2026-02-27,service,IS,D
2026-02-27,service,MS,A
2026-02-27,service,NS,E
2026-02-27,service,TS,B
2026-02-28,service,FSW,D
2026-02-28,service,ISW,C
2026-02-28,service,MSW,F
2026-02-28,service,NSW,E
2026-02-28,service,TSW,A
